	Unnamed: 0	name/period	crime_organised	Economic_situation	Eurozone	SMEs	Banking	(Un)employment/globalization	Terrorism	Immigration	Immigration/asylum	Climate_change	Climate_change/emission_trading	Energy/resources	Environment
0	0	html_no	20.0	3.0	32.0	35.0	44.0	30.0	61.0	77.0	41.0	68.0	54.0	25.0	50.0
1	1	topic_no	108.0	73.0	26.0	96.0	74.0	68.0	118.0	78.0	11.0	106.0	53.0	37.0	9.0
2	0	2	0.0	0.0	0.0	0.035	0.0	0.058	0.0	0.0	0.0	0.0	0.0	0.292	0.448
3	1	3	0.0	0.0	1.179	0.048	0.0	1.751	0.0	0.0	0.717	0.0	0.0	0.104	0.64
4	2	4	0.0	0.0	0.079	0.013	0.0	0.142	0.0	0.032	0.008	0.049	0.0	0.218	0.05
5	3	5	0.0	0.0	0.101	0.0	0.282	0.087	0.0	0.0	0.126	0.0	0.0	0.097	0.009
6	4	6	0.011	0.005	0.022	0.0	0.0	0.189	0.0	0.048	0.033	0.0	0.0	0.062	0.021
7	5	7	0.011	0.0	0.097	0.012	0.228	0.053	0.0	0.045	0.111	0.0	0.0	0.009	0.051
8	6	8	0.0	0.005	0.046	0.0	0.0	0.0	0.0	0.018	0.033	0.0	0.0	0.036	0.123
9	7	9	0.0	0.0	0.061	0.0	0.041	0.185	0.0	0.009	0.08	0.0	0.0	0.079	0.25
10	8	10	0.038	0.006	0.033	0.005	0.0	0.083	0.0	0.0	0.007	0.0	0.0	0.0	0.124
11	9	11	0.0	0.015	0.096	0.0	0.0	0.0	0.0	0.005	0.049	0.0	0.0	0.201	0.304
12	10	12	0.026	0.005	0.128	0.005	0.052	0.073	0.0	0.003	0.039	0.0	0.0	0.157	0.044
13	11	13	1.979	0.0	0.32	0.0	0.0	0.024	0.0	0.031	2.157	0.0	0.0	4.318	0.907
14	12	14	0.029	0.0	0.722	0.0	1.078	0.0	0.0	0.044	2.21	0.489	0.208	0.173	1.471
15	13	15	0.165	0.0	0.0	0.0	0.025	0.106	0.0	0.0	0.159	0.0	0.0	0.056	0.131
16	14	16	0.322	0.015	0.09	0.0	0.128	0.157	0.0	0.026	0.398	0.009	0.0	0.317	0.655
17	15	17	0.0	0.0	0.131	0.065	0.578	0.0	0.05	0.0	0.158	0.098	0.004	0.216	0.422
18	16	18	0.0	0.0	0.099	0.015	0.544	0.036	0.0	0.071	0.273	0.0	0.0	0.093	0.783
19	17	19	0.0	0.0	0.0	0.062	0.0	0.105	0.0	0.044	0.303	0.009	0.0	0.089	0.679
20	18	20	0.0	0.004	0.536	0.033	0.7	0.0	0.034	0.0	0.177	0.0	0.0	0.36	0.326
21	19	21	0.063	0.0	0.105	0.0	0.186	0.223	0.0	0.0	0.45	0.0	0.0	0.131	1.158
22	20	22	0.325	0.011	0.35	0.0	0.571	0.827	0.078	0.0	0.394	0.0	0.008	0.473	2.511
23	21	23	0.031	0.0	0.033	0.033	0.599	0.0	0.0	0.0	0.213	0.032	0.001	0.284	0.558
24	22	24	0.019	0.0	0.394	0.025	0.035	0.414	0.0	0.0	0.213	0.0	0.0	0.14	0.879
25	23	25	0.092	0.025	0.088	0.0	0.059	0.404	0.0	0.0	0.823	0.0	0.008	0.119	0.69
26	24	26	0.0	0.013	0.035	0.021	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.045	0.48
27	25	27	0.0	0.0	0.33	0.0	0.0	0.0	0.0	0.0	1.401	0.0	0.059	0.0	0.58
28	26	28	0.419	1.121	0.967	0.273	0.234	0.306	0.0	0.025	2.132	0.0	0.0	0.019	0.726
29	27	29	0.2	0.0	0.0	0.0	0.184	0.0	0.0	0.06	0.625	0.0	0.059	0.0	0.829
30	28	30	0.0	0.0	0.0	0.022	0.0	0.0	0.0	0.0	0.412	0.0	0.055	0.0	0.412
31	29	31	0.0	0.0	0.056	0.0	0.182	0.056	0.0	0.0	0.028	0.0	0.028	0.108	0.379
32	30	32	0.0	0.0	0.003	0.009	0.027	0.23	0.0	0.0	0.468	0.0	0.076	0.0	0.447
33	31	33	0.379	0.045	0.153	0.045	0.098	0.0	0.0	0.012	0.347	0.022	0.113	0.017	0.432
34	32	34	0.126	0.0	0.035	0.126	0.541	0.788	0.0	0.0	0.186	0.0	0.266	1.426	1.061
35	33	35	0.08	0.0	0.0	0.146	0.0	0.353	0.0	0.0	0.501	0.013	0.181	0.952	1.865
36	34	36	0.0	0.0	0.781	0.108	0.0	0.0	0.0	0.017	0.774	0.0	0.093	0.0	0.227
37	35	37	0.0	0.0	0.098	0.017	0.268	0.004	0.0	0.0	0.059	0.0	0.077	0.0	0.0
38	36	38	0.0	0.012	0.059	0.018	0.0	0.0	0.0	0.021	1.27	0.0	0.074	0.107	0.129
39	37	39	0.0	0.0	0.0	0.045	0.0	0.0	0.0	0.111	0.865	0.0	0.12	0.053	0.81
40	38	40	0.287	0.0	1.398	0.109	0.725	0.337	0.0	0.0	0.0	0.0	0.203	0.0	0.348
